epoch,phase,loss,accuracy
0,train,0.46500990732474606,0.8482606642531088
0,val,0.6114698604551321,0.7974504249291785
1,train,0.46147431158539104,0.8518810011018416
1,val,0.6078281294522813,0.8031161473087819
2,train,0.45541302054093125,0.852982842751456
2,val,0.6047322878418834,0.8045325779036827
3,train,0.4480958795704167,0.8542420903510153
3,val,0.6044591209368395,0.8031161473087819
4,train,0.45300555386806723,0.8515661892019518
4,val,0.6042391855385756,0.8031161473087819
5,train,0.4518701013159455,0.8523532189516764
5,val,0.6039717744497672,0.8031161473087819
6,train,0.4500467659506519,0.8537698725011805
6,val,0.603738956343351,0.8031161473087819
7,train,0.44904581073647537,0.8537698725011805
7,val,0.6035029705793257,0.8031161473087819
8,train,0.4537945649538681,0.8528254368015111
8,val,0.6032867539705703,0.8031161473087819
9,train,0.44635149369779464,0.8534550606012907
9,val,0.6030521635968692,0.8031161473087819
10,train,0.4444428424318813,0.8588068628994177
10,val,0.603043057763205,0.8031161473087819
11,train,0.45488410123723444,0.8532976546513459
11,val,0.6030324998050506,0.8031161473087819
12,train,0.44685398833818857,0.8558161498504644
12,val,0.6030227739479994,0.8031161473087819
13,train,0.45403082980971515,0.856445773650244
13,val,0.6030139558376064,0.8031161473087819
14,train,0.45041032057380403,0.851408783252007
14,val,0.6030037734055992,0.8031161473087819
15,train,0.44811952043739284,0.8539272784511255
15,val,0.6029946891849507,0.8031161473087819
16,train,0.4565891600792265,0.8476310404533292
16,val,0.6029846168442421,0.8031161473087819
17,train,0.44509751529707114,0.8584920509995277
17,val,0.6029845216118918,0.8031161473087819
18,train,0.4570671498691043,0.8510939713521172
18,val,0.6029843547864271,0.8031161473087819
19,train,0.43746192599213557,0.8594364866991973
19,val,0.6029842230821129,0.8031161473087819
20,train,0.449880767052481,0.8567605855501338
20,val,0.6029840481517673,0.8031161473087819
21,train,0.4471811972676948,0.852982842751456
21,val,0.6029838448543386,0.8031161473087819
22,train,0.4509694750864788,0.851251377302062
22,val,0.6029836152160472,0.8031161473087819
23,train,0.442917963336551,0.8572328033999685
23,val,0.6029835166066632,0.8031161473087819
24,train,0.45157734486562484,0.851408783252007
24,val,0.6029834477151758,0.8031161473087819
